name,Latitude,Longitude,planArrivalTime,planDepartureTime
AJ60FFW,55.9286372,-4.050887,28/08/2013 6:55,28/08/2013 7:05
AJ60FFW,55.778642,-4.026138,28/08/2013 7:25,28/08/2013 7:34
AJ60FFW,55.7841358,-4.274981,28/08/2013 8:00,28/08/2013 8:06
AJ60FFW,55.581677,-4.355664,28/08/2013 8:53,28/08/2013 9:00
AJ60FFW,55.4595965,-4.37157,28/08/2013 10:10,28/08/2013 10:16
AJ60FFW,55.4680629,-4.598261,28/08/2013 10:42,28/08/2013 10:48
AJ60FFW,55.4693625,-4.627511,28/08/2013 10:57,28/08/2013 11:05
AJ60FFW,55.5331011,-4.6326,28/08/2013 11:23,28/08/2013 11:31
AJ60FFW,55.5468287,-4.648755,28/08/2013 11:40,28/08/2013 11:46
AJ60FFW,55.6077001,-4.672471,28/08/2013 12:04,28/08/2013 12:11
AJ60FFW,55.799647,-4.863705,28/08/2013 12:58,28/08/2013 13:04
AJ60FFW,55.843052,-4.467935,28/08/2013 13:46,28/08/2013 13:53
AJ60FFW,55.861588,-4.417468,28/08/2013 14:09,28/08/2013 14:17
AO57 JXE,52.56921201,0.802503664,28/08/2013 8:03,28/08/2013 8:13
AO57 JXE,51.923514,-1.13667,28/08/2013 11:04,28/08/2013 11:11
AO57 JXE,51.903432,-1.13374,28/08/2013 11:17,28/08/2013 11:24
AO57 JXE,52.0594351,-1.335383,28/08/2013 12:00,28/08/2013 12:11
AO57 JXE,52.0742985,-1.341948,28/08/2013 12:18,28/08/2013 12:26
AO57 JXE,52.0798065,-1.195123,28/08/2013 12:45,28/08/2013 12:50
AO57 JXE,52.0798065,-1.195123,28/08/2013 12:50,28/08/2013 12:55
AO57 JXE,52.041319,-0.778214,28/08/2013 13:35,28/08/2013 13:42
AO57 JXE,51.9977617,-0.733637,28/08/2013 13:59,28/08/2013 14:09
AO57 JXE,52.020196,-0.700842,28/08/2013 14:20,28/08/2013 14:30
AO57 JXE,52.02059,-0.658126,28/08/2013 14:39,28/08/2013 14:46
AO57 JXE,52.348144,0.33229,28/08/2013 16:17,28/08/2013 16:37
AU08 KHX,52.56921201,0.802503664,28/08/2013 3:35,28/08/2013 3:45
AU08 KHX,51.6185831,-0.719692,28/08/2013 6:41,28/08/2013 6:48
AU08 KHX,51.6336102,-0.759222,28/08/2013 7:00,28/08/2013 7:10
AU08 KHX,51.599687,-0.648751,28/08/2013 7:32,28/08/2013 7:38
AU08 KHX,51.632186,-0.569283,28/08/2013 7:56,28/08/2013 8:02
AU08 KHX,51.6492569,-0.390343,28/08/2013 8:38,28/08/2013 8:48
AU08 KHX,51.6745448,-0.396389,28/08/2013 9:00,28/08/2013 9:06
AU08 KHX,51.7120233,-0.504031,28/08/2013 9:28,28/08/2013 9:34
AU08 KHX,51.7385865,-0.467105,28/08/2013 9:42,28/08/2013 9:52
AU58 NFY,52.56921201,0.802503664,28/08/2013 3:32,28/08/2013 3:42
AU58 NFY,51.4654317,-0.087802,28/08/2013 6:26,28/08/2013 6:31
AU58 NFY,51.501891,-0.041104,28/08/2013 7:00,28/08/2013 7:05
AU58 NFY,51.5565839,0.208054,28/08/2013 8:41,28/08/2013 8:50
AU58 NFY,51.5906037,0.218135,28/08/2013 9:03,28/08/2013 9:16
AU58 NFY,51.5737862,0.257784,28/08/2013 9:20,28/08/2013 9:27
AU58 NFY,51.7327393,0.495924,28/08/2013 10:02,28/08/2013 10:12
AU58 NFY,51.7817245,0.109991,28/08/2013 11:02,28/08/2013 11:14
AU58 NFY,51.8585899,0.144519,28/08/2013 11:36,28/08/2013 11:44
AU58 NFY,51.8585899,0.144519,28/08/2013 11:44,28/08/2013 11:52
AU58 NFZ,51.444276,-2.570422,28/08/2013 4:54,28/08/2013 5:04
AU58 NFZ,51.571781,-2.995996,28/08/2013 6:00,28/08/2013 6:07
AU58 NFZ,51.6528792,-3.027637,28/08/2013 6:32,28/08/2013 6:39
AU58 NFZ,51.6692917,-3.194655,28/08/2013 7:17,28/08/2013 7:25
AU58 NFZ,51.7458768,-3.379204,28/08/2013 8:02,28/08/2013 8:12
AU58 NFZ,51.7602655,-3.395886,28/08/2013 8:21,28/08/2013 8:27
AU58 NFZ,51.6597966,-3.506538,28/08/2013 10:09,28/08/2013 10:16
AU58 NFZ,51.6118039,-3.407416,28/08/2013 10:43,28/08/2013 10:55
AU58 NFZ,51.5795275,-3.32196,28/08/2013 11:19,28/08/2013 11:26
AU58 NFZ,51.5734362,-3.297323,28/08/2013 11:34,28/08/2013 11:41
AU58 NFZ,51.577016,-3.291309,28/08/2013 11:45,28/08/2013 11:53
AU58 NFZ,51.526448,-3.237012,28/08/2013 12:07,28/08/2013 12:20
AU58 NFZ,51.4959941,-3.567673,28/08/2013 12:46,28/08/2013 12:54
AU58 NFZ,51.4208574,-3.478001,28/08/2013 13:11,28/08/2013 13:19
AU58 NFZ,51.4057217,-3.271149,28/08/2013 13:46,28/08/2013 13:52
AU58 NFZ,51.4387531,-3.175206,28/08/2013 14:15,28/08/2013 14:22
AU58 NFZ,51.4581307,-3.185923,28/08/2013 14:31,28/08/2013 14:38
AU58 NFZ,51.4962007,-3.143765,28/08/2013 14:59,28/08/2013 15:08
AU58 NFZ,51.6002744,-2.844221,28/08/2013 15:40,28/08/2013 15:47
AU58 NGE,53.784437,-1.573837,28/08/2013 7:42,28/08/2013 7:52
AU58 NGE,53.545159,-2.654069,28/08/2013 9:28,28/08/2013 9:38
